"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","UNEMP","TOT","PC_LF","Q","2008-Q4",6.764473,
"BEL","UNEMP","TOT","PC_LF","Q","2009-Q1",7.799157,
"BEL","UNEMP","TOT","PC_LF","Q","2009-Q2",7.846843,
"BEL","UNEMP","TOT","PC_LF","Q","2009-Q3",7.993119,
"BEL","UNEMP","TOT","PC_LF","Q","2009-Q4",7.989622,
"BEL","UNEMP","TOT","PC_LF","Q","2010-Q1",8.480391,
"BEL","UNEMP","TOT","PC_LF","Q","2010-Q2",8.490777,
"BEL","UNEMP","TOT","PC_LF","Q","2010-Q3",8.417413,
"BEL","UNEMP","TOT","PC_LF","Q","2010-Q4",7.787281,
"BEL","UNEMP","TOT","PC_LF","Q","2011-Q1",7.054177,
"BEL","UNEMP","TOT","PC_LF","Q","2011-Q2",6.925852,
"BEL","UNEMP","TOT","PC_LF","Q","2011-Q3",7.570623,
"BEL","UNEMP","TOT","PC_LF","Q","2011-Q4",7.008506,
"BEL","UNEMP","TOT","PC_LF","Q","2012-Q1",7.092762,
"BEL","UNEMP","TOT","PC_LF","Q","2012-Q2",7.333463,
"BEL","UNEMP","TOT","PC_LF","Q","2012-Q3",7.530952,
"BEL","UNEMP","TOT","PC_LF","Q","2012-Q4",8.198673,
"BEL","UNEMP","TOT","PC_LF","Q","2013-Q1",8.340658,
"BEL","UNEMP","TOT","PC_LF","Q","2013-Q2",8.469173,
"BEL","UNEMP","TOT","PC_LF","Q","2013-Q3",8.452805,
"BEL","UNEMP","TOT","PC_LF","Q","2013-Q4",8.435062,
"BEL","UNEMP","TOT","PC_LF","Q","2014-Q1",8.58569,
"BEL","UNEMP","TOT","PC_LF","Q","2014-Q2",8.580702,
"BEL","UNEMP","TOT","PC_LF","Q","2014-Q3",8.462872,
"BEL","UNEMP","TOT","PC_LF","Q","2014-Q4",8.461531,
"BEL","UNEMP","TOT","PC_LF","Q","2015-Q1",8.60381,
"BEL","UNEMP","TOT","PC_LF","Q","2015-Q2",8.727279,
"BEL","UNEMP","TOT","PC_LF","Q","2015-Q3",7.985658,
"BEL","UNEMP","TOT","PC_LF","Q","2015-Q4",8.610075,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q1",8.194292,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q2",8.295185,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q3",7.692155,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q4",7.146364,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q1",7.608029,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q2",7.356059,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q3",7.059406,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q4",6.327773,
"CAN","UNEMP","TOT","PC_LF","Q","1960-Q4",7.566667,
"CAN","UNEMP","TOT","PC_LF","Q","1961-Q1",7.633333,
"CAN","UNEMP","TOT","PC_LF","Q","1961-Q2",7.533333,
"CAN","UNEMP","TOT","PC_LF","Q","1961-Q3",6.966667,
"CAN","UNEMP","TOT","PC_LF","Q","1961-Q4",6.2,
"CAN","UNEMP","TOT","PC_LF","Q","1962-Q1",6.066667,
"CAN","UNEMP","TOT","PC_LF","Q","1962-Q2",5.733333,
"CAN","UNEMP","TOT","PC_LF","Q","1962-Q3",5.8,
"CAN","UNEMP","TOT","PC_LF","Q","1962-Q4",5.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1963-Q1",5.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1963-Q2",5.633333,
"CAN","UNEMP","TOT","PC_LF","Q","1963-Q3",5.333333,
"CAN","UNEMP","TOT","PC_LF","Q","1963-Q4",5.1,
"CAN","UNEMP","TOT","PC_LF","Q","1964-Q1",4.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1964-Q2",4.766667,
"CAN","UNEMP","TOT","PC_LF","Q","1964-Q3",4.566667,
"CAN","UNEMP","TOT","PC_LF","Q","1964-Q4",4.433333,
"CAN","UNEMP","TOT","PC_LF","Q","1965-Q1",4.133333,
"CAN","UNEMP","TOT","PC_LF","Q","1965-Q2",4.166667,
"CAN","UNEMP","TOT","PC_LF","Q","1965-Q3",3.766667,
"CAN","UNEMP","TOT","PC_LF","Q","1965-Q4",3.4,
"CAN","UNEMP","TOT","PC_LF","Q","1966-Q1",3.366667,
"CAN","UNEMP","TOT","PC_LF","Q","1966-Q2",3.1,
"CAN","UNEMP","TOT","PC_LF","Q","1966-Q3",3.433333,
"CAN","UNEMP","TOT","PC_LF","Q","1966-Q4",3.4,
"CAN","UNEMP","TOT","PC_LF","Q","1967-Q1",3.7,
"CAN","UNEMP","TOT","PC_LF","Q","1967-Q2",3.733333,
"CAN","UNEMP","TOT","PC_LF","Q","1967-Q3",3.666667,
"CAN","UNEMP","TOT","PC_LF","Q","1967-Q4",4.166667,
"CAN","UNEMP","TOT","PC_LF","Q","1968-Q1",4.433333,
"CAN","UNEMP","TOT","PC_LF","Q","1968-Q2",4.533333,
"CAN","UNEMP","TOT","PC_LF","Q","1968-Q3",4.533333,
"CAN","UNEMP","TOT","PC_LF","Q","1968-Q4",4.466667,
"CAN","UNEMP","TOT","PC_LF","Q","1969-Q1",4.266667,
"CAN","UNEMP","TOT","PC_LF","Q","1969-Q2",4.366667,
"CAN","UNEMP","TOT","PC_LF","Q","1969-Q3",4.4,
"CAN","UNEMP","TOT","PC_LF","Q","1969-Q4",4.6,
"CAN","UNEMP","TOT","PC_LF","Q","1970-Q1",4.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1970-Q2",5.766667,
"CAN","UNEMP","TOT","PC_LF","Q","1970-Q3",6.166667,
"CAN","UNEMP","TOT","PC_LF","Q","1970-Q4",6.1,
"CAN","UNEMP","TOT","PC_LF","Q","1971-Q1",6.233333,
"CAN","UNEMP","TOT","PC_LF","Q","1971-Q2",6.266667,
"CAN","UNEMP","TOT","PC_LF","Q","1971-Q3",6.1,
"CAN","UNEMP","TOT","PC_LF","Q","1971-Q4",6.133333,
"CAN","UNEMP","TOT","PC_LF","Q","1972-Q1",5.966667,
"CAN","UNEMP","TOT","PC_LF","Q","1972-Q2",6.066667,
"CAN","UNEMP","TOT","PC_LF","Q","1972-Q3",6.366667,
"CAN","UNEMP","TOT","PC_LF","Q","1972-Q4",6.466667,
"CAN","UNEMP","TOT","PC_LF","Q","1973-Q1",5.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1973-Q2",5.4,
"CAN","UNEMP","TOT","PC_LF","Q","1973-Q3",5.4,
"CAN","UNEMP","TOT","PC_LF","Q","1973-Q4",5.533333,
"CAN","UNEMP","TOT","PC_LF","Q","1974-Q1",5.233333,
"CAN","UNEMP","TOT","PC_LF","Q","1974-Q2",5.2,
"CAN","UNEMP","TOT","PC_LF","Q","1974-Q3",5.266667,
"CAN","UNEMP","TOT","PC_LF","Q","1974-Q4",5.666667,
"CAN","UNEMP","TOT","PC_LF","Q","1975-Q1",6.7,
"CAN","UNEMP","TOT","PC_LF","Q","1975-Q2",6.833333,
"CAN","UNEMP","TOT","PC_LF","Q","1975-Q3",6.966667,
"CAN","UNEMP","TOT","PC_LF","Q","1975-Q4",7.133333,"B"
"CAN","UNEMP","TOT","PC_LF","Q","1976-Q1",6.933333,
"CAN","UNEMP","TOT","PC_LF","Q","1976-Q2",6.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1976-Q3",7.166667,
"CAN","UNEMP","TOT","PC_LF","Q","1976-Q4",7.366667,
"CAN","UNEMP","TOT","PC_LF","Q","1977-Q1",7.733333,
"CAN","UNEMP","TOT","PC_LF","Q","1977-Q2",7.866667,
"CAN","UNEMP","TOT","PC_LF","Q","1977-Q3",8.233334,
"CAN","UNEMP","TOT","PC_LF","Q","1977-Q4",8.4,
"CAN","UNEMP","TOT","PC_LF","Q","1978-Q1",8.366667,
"CAN","UNEMP","TOT","PC_LF","Q","1978-Q2",8.466666,
"CAN","UNEMP","TOT","PC_LF","Q","1978-Q3",8.466666,
"CAN","UNEMP","TOT","PC_LF","Q","1978-Q4",8.2,
"CAN","UNEMP","TOT","PC_LF","Q","1979-Q1",8,
"CAN","UNEMP","TOT","PC_LF","Q","1979-Q2",7.633333,
"CAN","UNEMP","TOT","PC_LF","Q","1979-Q3",7.066667,
